Distance (km),Delta Bullington (dB) 0,ITU Sperical Earth Diffraction (dB) 0,Fresnel-Kirchoff (dB) 0,ITU Single Rounded (dB) 0,Bullington (dB) 0,Epstein Peterson (dB) 0,Deygout (dB) 0,Giovaneli (dB) 0,Deygout Rounded (dB) 0,ITU Two Edge (dB) 0,ITU Two Rounded (dB) 0,Distance (km).1,Delta Bullington (dB) 1,Bullington (dB) 1,Epstein Peterson (dB) 1,Deygout (dB) 1,Giovaneli (dB) 1,Deygout Rounded (dB) 1,ITU Two Edge (dB) 1,ITU Two Rounded (dB) 1,Distance (km).2,Delta Bullington (dB) 2,ITU Sperical Earth Diffraction (dB) 2,Fresnel-Kirchoff (dB) 2,ITU Single Rounded (dB) 2,Bullington (dB) 2,Epstein Peterson (dB) 2,Deygout (dB) 2,Giovaneli (dB) 2,Deygout Rounded (dB) 2,ITU Two Edge (dB) 2,ITU Two Rounded (dB) 2,Distance (km).3,Delta Bullington (dB) 3,ITU Sperical Earth Diffraction (dB) 3,Fresnel-Kirchoff (dB) 3,ITU Single Rounded (dB) 3,Bullington (dB) 3,Epstein Peterson (dB) 3,Deygout (dB) 3,Giovaneli (dB) 3,Deygout Rounded (dB) 3
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.080465077480085,0.22093239696402445,0.19663915345362343,0.20571158848507146,-21.45463810568924,-0.268478262874562,-43.85780628388661,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.03948011593936298,-7.8555491507494954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.31440641018937,-0.06127729525987509,0.24020447830083264,0.10946925423966489,-21.280599210097844,0.0,0.0,4.0,0.0,0.0,-0.04747970985490417,-9.798941683728378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.65394817018402,0.0,0.0245723696411431,43.083445972773546,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,46.14556495224065,-0.07844789936038137,-0.07170047997294723,-0.06040719706682046,-15.305102616880108,-0.2546153209339046,-58.23184621038195,6.0,0.0,19.239270245240537,-0.047606946807148914,0.21032032918059704,0.15726873295150548,-22.40681938861041,0.0,0.0,6.0,0.0,0.0,0.0,0.0,57.11701815022173,0.00014012574190655144,-0.058174025794353684,0.03216425131463954,-14.675463897628664,22.78453032656909,21.367171119779684,6.0,36.15871587185647,0.0,0.0,0.0,41.210693227417686,-0.16577952126563766,-0.045404418643726255,-0.1624046143861833,74.75917300376709
8.0,0.0,0.0,0.0,0.0,43.033125758806904,-0.010469498926446108,-0.03256946005189348,-0.03148010380408583,-18.976844897722685,-0.27944631924331986,-80.5813302452107,8.0,0.0,17.895029447496988,-0.08976246085635953,0.1286265568903454,0.19477200256372693,-29.05247620629593,0.0,0.0,8.0,0.0,0.0,0.0,0.0,47.364783149688776,-0.16532577872634677,-0.02453055253935484,-0.05779096080273493,-17.820877753536298,0.0,0.0,8.0,35.17620927654354,0.0,0.0,0.0,39.6631033738546,0.0064368060469675095,-0.05179832153258434,-0.11242051028250158,67.89772775915657
10.0,0.0,0.0,0.0,0.0,41.79282872096486,-0.06456703076073261,-0.030482716550627294,-0.009649941441854677,-29.06461941787125,0.0,0.0,10.0,0.0,17.17525192359657,-0.025253122552708944,0.2217774856731898,0.16354571204689705,-21.542394768138966,0.0,0.0,10.0,17.663294841375183,0.0,0.0,0.0,44.52702623661204,-0.02789290725337976,-0.00991096175509652,0.005777407737008449,-4.414995438606175,0.0,0.0,10.0,33.03252965430826,0.0,0.0,0.0,39.149338123499525,-0.06513335161702966,-0.05779936962998584,-0.07068681027966484,59.29706117138235
12.0,15.67611174671493,0.0,0.0,0.0,41.35219821492776,-0.18752078392239296,-0.07411993275801004,-0.011828560926938689,-25.763876524270966,0.0,0.0,12.0,0.0,16.596930969714126,-0.02004710450196239,0.18993194816101913,0.15194202199092308,-20.923900747092237,0.0,0.0,12.0,0.0,0.0,0.0,0.0,43.34968037507793,0.012962701574742368,0.007232614459422634,0.013338315904655684,-17.217649866661095,0.0,0.0,12.0,14.811378037932366,0.0,0.0,0.0,39.94045418641698,-0.027363528479638872,-0.04238879057151869,-0.07048447037368515,45.17048038767186
14.0,0.0,0.0,0.0,0.0,40.85920557994504,0.09423367920302285,-0.0479563263380385,-0.019263989056238037,-47.00998588108153,0.0,0.0,14.0,0.0,16.00208997638192,0.03232514617655749,0.21113468741705269,0.17439228018905206,-15.40797648510913,0.0,0.0,14.0,9.543170980199056,0.0,0.0,0.0,42.354792732154195,0.022816923571288644,0.010129200751717719,0.02123999082709615,-12.338280183940615,0.0,0.0,14.0,44.40628823993768,0.0,0.0,0.0,38.36951463258944,0.05436074545770991,-0.05457149215480226,-0.09086129910197685,111.75487192748241
16.0,26.020554122975714,0.0,0.0,0.0,39.87353457280552,0.002638291301262849,-0.052498912005185076,-0.02946650142216868,-26.31446576590127,0.0,0.0,16.0,0.0,15.546298308884891,-0.07832984710789365,0.14317013201611592,0.15136327816511433,-12.275975294520773,0.0,0.0,16.0,23.241961600614474,0.0,0.0,0.0,41.47369854135316,-0.01049817182813363,-0.0013507742837057229,0.008879729012460542,-0.22595842187133997,0.0,0.0,16.0,43.4875616909016,0.0,0.0,0.0,37.95636974377187,-0.16604049032425744,-0.08218194498434808,-0.06614984571908392,127.23741952450709
18.0,31.15675506728899,0.0,0.0,0.0,39.19357444472558,0.06472636656974687,-0.06505872246955707,-0.012961258548998607,-9.081095140889424,0.0,0.0,18.0,0.0,15.167952467962902,0.013506582924380658,0.15946927187807414,0.16289998841920586,-1.7150486303127694,0.0,0.0,17.39688966,17.563860415213252,0.0,0.0,0.0,41.055901776910375,0.021651647249891978,-0.01325655079506447,-0.0016843623556319024,-6.981019447193576,0.0,0.0,18.0,42.59289953759034,0.0,0.0,0.0,37.2694609630849,-0.00020641303417325008,-0.06533608206377246,-0.0906149194152406,155.5935873986363
20.0,30.404714948280894,0.0,0.0,0.0,38.63025606178813,0.130428800521527,-0.0220244132051587,-0.05920878302150733,-3.8638446502623367,0.0,0.0,20.0,0.0,14.833872151916694,0.1594497324551563,0.14857057931079976,0.1792326366866862,2.39143487228506,0.0,0.0,,,,,,,,,,,,,20.0,40.64392626701205,0.0,0.0,0.0,36.87171758423751,0.09145157652289398,-0.01267415320478259,-0.08846377512308765,155.81768050459996
22.0,25.53026023775113,0.0,0.0,0.0,38.15206337754999,0.06958133333990983,-0.023359092023344526,-0.056303483864840506,-10.880446712844485,0.0,0.0,22.0,0.5715113149500127,14.52744308960326,0.3605600549668905,0.17601382082923656,0.15614818213327744,4.749742134248365,0.0,0.0,,,,,,,,,,,,,22.0,40.05458499909543,0.0,0.0,0.0,36.46961784679159,-0.15324486034632762,-0.018377840044226167,-0.04452439602703405,167.42155099248583
24.0,17.89725433934792,0.0,0.0,0.0,37.78641086327205,0.0520056174381925,-0.049155876362227235,-0.041565451009392414,-16.385339622870656,0.0,0.0,24.0,0.16149070021627987,14.257775263109183,0.23704622201202386,0.1663286577835166,0.15608275338511154,8.141927089642559,0.0,0.0,,,,,,,,,,,,,24.0,37.503066592467,0.0,0.0,0.0,36.306893833469694,-0.13502895855931948,-0.004662050425489234,-0.06130058421260258,157.76453022996563
26.0,3.2804473076080414,0.0,0.0,0.0,37.44637584909367,0.060276820195955656,-0.029162116813737794,-0.027989012530995304,-27.99902780298777,0.0,0.0,26.0,1.6114871457097517,13.996691717278074,0.14929557803539223,0.15935851170467266,0.16740437419362147,18.88271318523392,0.0,0.0,,,,,,,,,,,,,26.0,32.46817271337737,0.0,0.0,0.0,36.23786606584575,-0.16010480488037232,0.016196398710838063,-0.07343462445774013,144.0098668649118
28.0,0.0,0.0,0.0,0.0,37.14586069571759,0.31292093390904085,-0.06371132912811814,-0.03252703950991531,-57.314816193772906,0.0,0.0,28.0,1.3439041006606287,13.769552071971278,-0.017773094772486703,0.16366718343856757,0.14141456608162248,21.303076962770064,0.0,0.0,,,,,,,,,,,,,28.0,15.861608036033392,0.0,0.0,0.0,36.28977680283657,-0.18994895051895744,0.008942731118222715,-0.06902303591047775,116.32562418422542
30.0,0.0,0.0,0.0,0.0,36.83374416897359,0.03501002734831682,-0.03184218569998237,-0.04286868655912477,-38.49473768825604,0.0,0.0,30.0,1.8224759031487254,13.55440133017148,-0.03437863865839187,0.1414271030377334,0.1598711652643514,36.32088777933518,0.0,0.0,,,,,,,,,,,,,30.0,51.68840086498563,0.0,0.0,0.0,35.53409333983809,0.6337343002437139,0.0052787009737355044,-0.06578319550499814,240.66137929513928
32.0,10.963694710555249,0.0,0.0,0.0,36.4853762617136,0.09219083275917159,-0.016892580009952904,-0.046848437268690646,-26.187074077116506,0.0,0.0,32.0,1.9343032558200315,13.357756803525538,-0.004662031027263758,0.13050033716321258,0.1681810790154073,41.600828233909205,0.0,0.0,,,,,,,,,,,,,32.0,51.99066730045645,0.0,0.0,0.0,34.985820536915455,0.8718323635216941,-0.011580978888382835,-0.06202455236015043,287.96866408333517
34.0,29.290885729799648,0.0,0.0,0.0,36.16479374837833,-0.06947447752624092,-0.04867626266296905,-0.052337799676106425,-0.3327177387922653,0.0,0.0,34.0,4.005744150961893,13.166718265920663,0.029464314905567415,0.12351322190817263,0.17700929134112098,41.44408091338011,0.0,0.0,,,,,,,,,,,,,34.0,46.160575495282984,0.0,0.0,0.0,34.917349125168656,0.9507682639189352,-0.004981865764141556,-0.07254068269168086,252.41025181893232
36.0,4.850001861050909,0.0,0.0,0.0,35.922002838679404,0.09738991859326328,-0.02165432272601869,-0.028741508886244656,-23.982209227098718,0.0,0.0,36.0,3.8823520892230734,12.998597742500122,0.041571320083969326,0.13319656300781202,0.14813044687659255,56.02789398565877,0.0,0.0,,,,,,,,,,,,,36.0,37.978935767364845,0.0,0.0,0.0,35.00763034215546,0.9667073322458585,-0.007761927424056888,-0.07402700035945337,208.039328795373
